"filename", "language", "JavaScript", "JSON", "JSON with Comments", "Properties", "Markdown", "YAML", "TypeScript JSX", "Gradle", "Java Properties", "Batch", "Objective-C", "C++", "Objective-C++", "XML", "Kotlin", "Swift", "comment", "blank", "total"
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/src/redux/slices/filter/filterOptionsSlice.jsx", "JavaScript", 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 85
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/src/redux/slices/formSlice.jsx", "JavaScript", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 5, 87
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/src/redux/slices/product/ProductSlice.js", "JavaScript", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 75
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/src/redux/slices/product/ProductThunk.js", "JavaScript", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 67
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/src/redux/store.jsx", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/src/screens/SupportScreen.jsx", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 42
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/src/screens/UserProfile/EditUserProfile.jsx", "JavaScript", 188, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19, 210
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/src/screens/UserProfile/UserProfile.jsx", "JavaScript", 173, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 179
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/src/screens/UserTypeSelectionPage.jsx", "JavaScript", 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 101
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/src/screens/addProduct/ApScreen1.jsx", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/src/screens/addProduct/GeneralDetails.jsx", "JavaScript", 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 3, 109
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/src/screens/addProduct/PropertyImages.jsx", "JavaScript", 165, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 170
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/src/screens/addProduct/PropertySpecification.jsx", "JavaScript", 324, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 15, 348
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/src/screens/addProduct/ReviewDetails.jsx", "JavaScript", 137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 145
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/src/screens/addProduct/SearchCity.jsx", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"/Users/nitishpoonia/2Area/Development/react-native/propertyRentalApp/src/screens/auth/Login.jsx", "JavaScript", 166, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 176
